"Var1","Freq"
"Advertising",54
"Aerospace/Defense",84
"Air Transport",25
"Apparel",59
"Auto & Truck",25
"Auto Parts",67
"Bank",7
"Banks (Regional)",625
"Beverage ",37
"Beverage (Alcoholic)",17
"Biotechnology",300
"Broadcasting",24
"Brokerage & Investment Banking",41
"Building Materials",32
"Business & Consumer Services",155
"Cable TV",16
"Chemical (Basic)",45
"Chemical (Diversified)",9
"Chemical (Specialty)",87
"Coal & Related Energy",39
"Computer Services",109
"Computer Software",236
"Computers/Peripherals",60
"Construction",18
"Diversified",18
"Educational Services",36
"Electrical Equipment",119
"Electronics",168
"Electronics (Consumer & Office)",24
"Engineering",48
"Entertainment",74
"Environmental & Waste Services",96
"Farming/Agriculture",25
"Financial Svcs.",69
"Financial Svcs. (Non-bank & Insurance)",11
"Food Processing",84
"Food Wholesalers",15
"Furn/Home Furnishings",34
"Healthcare Equipment",166
"Healthcare Facilities",36
"Healthcare Products",48
"Healthcare Services",114
"Heathcare Information and Technology",110
"Heavy Construction",42
"Homebuilding",29
"Hotel/Gaming",80
"Household Products",117
"Information Services",66
"Insurance (General)",25
"Insurance (Life)",22
"Insurance (Prop/Cas.)",49
"Internet software and services",287
"Investment Co.",55
"Machinery",124
"Metals & Mining",118
"Office Equipment & Services",25
"Oil/Gas (Integrated)",6
"Oil/Gas (Production and Exploration)",351
"Oil/Gas Distribution",71
"Oilfield Svcs/Equip.",150
"Packaging & Container",22
"Paper/Forest Products",16
"Pharma & Drugs",117
"Power",97
"Precious Metals",147
"Publshing & Newspapers",48
"R.E.I.T.",39
"Railroad",9
"Real Estate (Development)",19
"Real Estate (General/Diversified)",10
"Real Estate (Operations & Services)",42
"Recreation",62
"Reinsurance",2
"Restaurant",66
"Retail (Automotive)",24
"Retail (Building Supply)",6
"Retail (Distributors)",81
"Retail (General)",19
"Retail (Grocery and Food)",17
"Retail (Internet)",41
"Retail (Special Lines)",116
"Rubber& Tires",4
"Semiconductor",94
"Semiconductor Equip",49
"Shipbuilding & Marine",13
"Shoe",13
"Steel",31
"Telecom (Wireless)",24
"Telecom. Equipment",107
"Telecom. Services",64
"Thrift",193
"Tobacco",10
"Transportation",21
"Trucking",25
"Utility (General)",19
"Utility (Water)",16
